Linea, Nombre
1,Estació d'Autobusos - la Malva-rosa
2,la Malva-rosa - Campanar
3,Av. del Cid - Av. del Port
4,Natzaret - Pl. de l'Ajuntament
5,Interior
6,Torrefiel - Nou Hospital La Fe
7,Mislata - Fonteta Sant Lluís
8,Porta de la Mar - Nou Hospital La Fe
9,la Torre - Albereda
10,Benimaclet - Sant Marcel.lí
11,Patraix - Orriols
12,Ciutat Artista Faller - Pl. America
13,Fonteta Sant Lluís - Baró de Càrcer
14,Forn d'Alcedo/Pinedo - Marqués de Sotelo
15,Pinedo - Pl. de l'Ajuntament
16,Vinalesa - Pl. de l'Ajuntament
18,Nou Hospital La Fe - Universitats
19,Pl. de l'Ajuntament - Marina Real/la Malva-ros
20,Av. del Cid - Port/Platges
23,Platges - Nazaret/Creu Coberta
25,Valencia - El Palmar / El Perellonet
26,Moncada/Alfara - Poeta Querol
27,la Torre - Mercat Central
28,Ciutat Artista Faller - Mercat Central
29,Av. del Cid - Universitats
30,Natzaret - Hospital Clínic
31,la Malva-rosa - Poeta Querol
32,Passeig Marítim - Pl. de l'Ajuntament
35,Ciutat Arts i Ciències - Pl. de l'Ajuntament
40,Universitats - Estació Nord
41,Pl. Espanya - Universitats/Est. del Cabanyal
60,Av. Baró de Càrcer - Torrefiel
62,Benimàmet - Pl. de l'Ajuntament
63,Campus Burjassot - Estació Nort
64,Benicalap - Est. J. Sorolla/Nou Hospital La Fe
67,Pl. de l'Ajuntament - Nou Campanar
70,la Fontsanta - Alboraia
71,la Llum - Universitats
72,Sant Isidre - Pl. de l'Ajuntament
73,Tres creus - Estació Nort
79,Circular - Grans Víes
80,Circular - Grans Víes
81,Estació Nort - Av. Blasco Ibáñez
89,Circular - Ronda Trànsits
90,Circular - Ronda Trànsits
95,Jardí del Túria
99,Estació del Cabanyal - Palau de Congressos
N1,Pl. de l'Ajuntament - Blasco Ibáñez/la Malva-rosa
N2,Pl. de l'Ajuntament - Primat Reig/Tavernes
N3,Pl. de l'Ajuntament - Ferràn Católic/Benimàmet
N4,Pl. de l'Ajuntament - Av. Cid/Mislata
N5,Pl. de l'Ajuntament - Sant Isidre/la Fontsanta
N6,Pl. de l'Ajuntament - Jesús/la Torre
N7,Pl. de l'Ajuntament - Malilla/la Fonteta
N8,Pl. de l'Ajuntament - Av. Port/Natzaret
N9,Pl. de l'Ajuntament - Mont-Olivet/Cabanyal
N10,Pl. de l'Ajuntament - Ciutat Artista Faller/Camí Montcada
N89,Circular - Ronda Trànsits
N90,Circular - Ronda Trànsits
