stop_id,stop_name,stop_desc
10,Dr. Lluch - Mare de Déu del Sufragi,C DOCTOR LLUCH 99 (DAVANT) - VALÈNCIA
1006,Ricardo Micó - Menéndez Pidal,C RICARDO MICO 8 (DAVANT) - VALÈNCIA
1007,Jesús Morante Borràs (I),AV JESUS MORANTE BORRAS 26 - VALÈNCIA
1008,Jesús Morante Borràs (II),AV JESUS MORANTE BORRAS 54 - VALÈNCIA
1009,Jesús Morante Borràs (III),AV JESUS MORANTE BORRAS 86 - VALÈNCIA
1010,Jesús Morante Borràs (IV),AV JESUS MORANTE BORRAS 158 - VALÈNCIA
1011,Jesús Morante Borràs (V),AV JESUS MORANTE BORRAS 212 - VALÈNCIA
1012,Jesús Morante Borràs (VI),AV JESUS MORANTE BORRAS 201 - VALÈNCIA
1013,Jesús Morante Borràs (VII),AV JESUS MORANTE BORRAS 151 - VALÈNCIA
1014,Jesús Morante Borràs (VIII),AV JESUS MORANTE BORRAS 75 - VALÈNCIA
1015,Jesús Morante Borràs (IX),AV JESUS MORANTE BORRAS 56 (DAVANT) - VALÈNCIA
1016,Jesús Morante Borràs (X),AV JESUS MORANTE BORRAS 26 (DAVANT) - VALÈNCIA
1020,Albereda - Passarel.la de l'Exposició,PSEG ALAMEDA 14 (DAVANT JARDÍ VIA CENTRAL) - VALÈNCIA
1021,Albereda - Pla del Real,PSEG ALAMEDA 1(DAVANT JARDÍ VIA CENTRAL) - VALÈNCIA
1024,Palau de Justícia - Glorieta,C PALACIO DE JUSTICIA ILLETA - VALÈNCIA
1026,Ribàs (impar) - Ador,CAMI RIBAS DAVANT  ADOR - CASTELLAR-OLIVERAL
1027,Principal - El Caroig,C  18 - VALÈNCIA
1028,Mare de Déu de Lepant (impar) - Esc. F. Siurana,PL VIRGEN DE LEPANTO 7 - CASTELLAR-OLIVERAL
1029,Vicent Puchol - Font de Bonet,C VICENTE PUCHOL 72 - CASTELLAR-OLIVERAL
1030,Crist del Refugi - Davant Sant Agustí,C CRISTO DEL REFUGIO 60 - CASTELLAR-OLIVERAL
1031,Navarro Reverter - Gravador Esteve,AV NAVARRO REVERTER 2 - VALÈNCIA
1032,Tírig - Guàrdia Civil,C TIRIG 4 - VALÈNCIA
1034,Cerdà de Tallada - Colón,C CERDAN DE TALLADA 2 (DAVANT) - VALÈNCIA
1035,Aragó - Finlàndia,AV ARAGÓN 22 (DAVANT INSTITUT) - VALÈNCIA
1036,Uruguai - Veneçuela,C URUGUAY 38 - VALÈNCIA
1038,Arxiduc Carles (impar) - Tres Forques,C ARCHIDUQUE CARLOS 63 - VALÈNCIA
1039,Ernest Ferrer - Aragó,C ERNESTO FERRER 1 - VALÈNCIA
1041,Ramón i Cajal - Pintor Benedito,GV RAMON Y CAJAL 25 - VALÈNCIA
